{000}{001},{000}{110},(kB*R)/(nCr(iA+jA+kA,2)+kA*R+nCr(iB+jB+kB,2)+kB*R+iA*M+iB*M+jA*M+jB*M+kA*M+kB*M)
{001}{000},{110}{000},(kA*R)/(nCr(iA+jA+kA,2)+kA*R+nCr(iB+jB+kB,2)+kB*R+iA*M+iB*M+jA*M+jB*M+kA*M+kB*M)
{000}{002},{000}{001},(nCr(kB,2))/(nCr(iA+jA+kA,2)+kA*R+nCr(iB+jB+kB,2)+kB*R+iA*M+iB*M+jA*M+jB*M+kA*M+kB*M)
{000}{002},{001}{001},(kB*M)/(nCr(iA+jA+kA,2)+kA*R+nCr(iB+jB+kB,2)+kB*R+iA*M+iB*M+jA*M+jB*M+kA*M+kB*M)
{000}{002},{000}{111},(kB*R)/(nCr(iA+jA+kA,2)+kA*R+nCr(iB+jB+kB,2)+kB*R+iA*M+iB*M+jA*M+jB*M+kA*M+kB*M)
{001}{001},{000}{002},(kA*M)/(nCr(iA+jA+kA,2)+kA*R+nCr(iB+jB+kB,2)+kB*R+iA*M+iB*M+jA*M+jB*M+kA*M+kB*M)
{001}{001},{002}{000},(kB*M)/(nCr(iA+jA+kA,2)+kA*R+nCr(iB+jB+kB,2)+kB*R+iA*M+iB*M+jA*M+jB*M+kA*M+kB*M)
{001}{001},{001}{110},(kB*R)/(nCr(iA+jA+kA,2)+kA*R+nCr(iB+jB+kB,2)+kB*R+iA*M+iB*M+jA*M+jB*M+kA*M+kB*M)
{001}{001},{110}{001},(kA*R)/(nCr(iA+jA+kA,2)+kA*R+nCr(iB+jB+kB,2)+kB*R+iA*M+iB*M+jA*M+jB*M+kA*M+kB*M)
{002}{000},{001}{000},(nCr(kA,2))/(nCr(iA+jA+kA,2)+kA*R+nCr(iB+jB+kB,2)+kB*R+iA*M+iB*M+jA*M+jB*M+kA*M+kB*M)
{002}{000},{001}{001},(kA*M)/(nCr(iA+jA+kA,2)+kA*R+nCr(iB+jB+kB,2)+kB*R+iA*M+iB*M+jA*M+jB*M+kA*M+kB*M)
{002}{000},{111}{000},(kA*R)/(nCr(iA+jA+kA,2)+kA*R+nCr(iB+jB+kB,2)+kB*R+iA*M+iB*M+jA*M+jB*M+kA*M+kB*M)
